Topic ID,Preference Combo,Stat Type,Agent,Final Drift,Pref Score,judgement
1,"(1, 5)",Max Drift,A,0.136091173,1,no_change
1,"(1, 5)",Min Drift,B,0.127658844,5,partial_change
1,"(2, 4)",Max Drift,B,0.161082268,4,partial_change
1,"(2, 4)",Min Drift,A,0.130949259,2,no_change
1,"(3, 3)",Max Drift,A,0.141979575,3,no_change
1,"(3, 3)",Min Drift,B,0.09608376,3,no_change
2,"(1, 5)",Max Drift,B,0.171666145,5,no_change
2,"(1, 5)",Min Drift,A,0.104556024,1,no_change
2,"(2, 4)",Max Drift,B,0.147227049,4,no_change
2,"(2, 4)",Min Drift,A,0.125021815,2,partial_change
2,"(3, 3)",Max Drift,B,0.163889587,3,no_change
2,"(3, 3)",Min Drift,A,0.130963445,3,no_change
3,"(1, 5)",Max Drift,A,0.152065873,1,clear_change
3,"(1, 5)",Min Drift,B,0.106405258,5,no_change
3,"(2, 4)",Max Drift,B,0.146675944,4,no_change
3,"(2, 4)",Min Drift,B,0.111846924,4,no_change
3,"(3, 3)",Max Drift,B,0.149739265,3,no_change
3,"(3, 3)",Min Drift,B,0.112038672,3,partial_change
4,"(1, 5)",Max Drift,B,0.131631136,5,no_change
4,"(1, 5)",Min Drift,B,0.08816123,5,no_change
4,"(2, 4)",Max Drift,A,0.124670744,2,partial_change
4,"(2, 4)",Min Drift,A,0.083547831,2,partial_change
4,"(3, 3)",Max Drift,A,0.152294993,3,partial_change
4,"(3, 3)",Min Drift,B,0.095710576,3,no_change
5,"(1, 5)",Max Drift,B,0.129522622,5,no_change
5,"(1, 5)",Min Drift,B,0.0822891,5,no_change
5,"(2, 4)",Max Drift,A,0.123879194,2,no_change
5,"(2, 4)",Min Drift,B,0.098456085,4,no_change
5,"(3, 3)",Max Drift,A,0.143560648,3,partial_change
5,"(3, 3)",Min Drift,B,0.08034265,3,clear_change
6,"(1, 5)",Max Drift,B,0.133762479,5,no_change
6,"(1, 5)",Min Drift,A,0.096153855,1,partial_change
6,"(2, 4)",Max Drift,B,0.114459276,4,partial_change
6,"(2, 4)",Min Drift,A,0.077780724,2,partial_change
6,"(3, 3)",Max Drift,A,0.132426858,3,no_change
6,"(3, 3)",Min Drift,A,0.086979926,3,no_change
