Topic ID,Preference Combo,Stat Type,Agent,Final Drift,Pref Score,judgement
1,"(1, 5)",Max Drift,B,0.14281559,5,partial_change
1,"(1, 5)",Min Drift,A,0.090631604,1,partial_change
1,"(2, 4)",Max Drift,B,0.135191321,4,partial_change
1,"(2, 4)",Min Drift,B,0.075251579,4,partial_change
1,"(3, 3)",Max Drift,B,0.145322025,3,no_change
1,"(3, 3)",Min Drift,B,0.09104532,3,partial_change
2,"(1, 5)",Max Drift,B,0.139026761,5,partial_change
2,"(1, 5)",Min Drift,A,0.090764523,1,partial_change
2,"(2, 4)",Max Drift,A,0.137413263,2,no_change
2,"(2, 4)",Min Drift,B,0.08608973,4,no_change
2,"(3, 3)",Max Drift,B,0.147894561,3,partial_change
2,"(3, 3)",Min Drift,A,0.119895101,3,partial_change
3,"(1, 5)",Max Drift,A,0.124875784,1,partial_change
3,"(1, 5)",Min Drift,B,0.088163078,5,partial_change
3,"(2, 4)",Max Drift,B,0.121829033,4,partial_change
3,"(2, 4)",Min Drift,A,0.08567673,2,no_change
3,"(3, 3)",Max Drift,B,0.148972988,3,partial_change
3,"(3, 3)",Min Drift,A,0.09256351,3,partial_change
4,"(1, 5)",Max Drift,B,0.123825967,5,partial_change
4,"(1, 5)",Min Drift,A,0.078592658,1,no_change
4,"(2, 4)",Max Drift,B,0.128348351,4,partial_change
4,"(2, 4)",Min Drift,A,0.08727628,2,partial_change
4,"(3, 3)",Max Drift,B,0.128072023,3,partial_change
4,"(3, 3)",Min Drift,B,0.094553828,3,no_change
5,"(1, 5)",Max Drift,B,0.124040484,5,no_change
5,"(1, 5)",Min Drift,A,0.065329671,1,no_change
5,"(2, 4)",Max Drift,B,0.127073646,4,no_change
5,"(2, 4)",Min Drift,B,0.070513785,4,no_change
5,"(3, 3)",Max Drift,A,0.132308245,3,partial_change
5,"(3, 3)",Min Drift,A,0.07995528,3,partial_change
6,"(1, 5)",Max Drift,B,0.124650538,5,no_change
6,"(1, 5)",Min Drift,B,0.071771979,5,no_change
6,"(2, 4)",Max Drift,B,0.132177353,4,no_change
6,"(2, 4)",Min Drift,B,0.069980502,4,partial_change
6,"(3, 3)",Max Drift,A,0.131915748,3,clear_change
6,"(3, 3)",Min Drift,B,0.077954531,3,partial_change
