Topic ID,Preference Combo,Stat Type,Agent,Final Drift,Pref Score,judgement
1,"(1, 5)",Max Drift,B,0.169124424,5,partial_change
1,"(1, 5)",Min Drift,B,0.109799743,5,partial_change
1,"(2, 4)",Max Drift,B,0.160214067,4,no_change
1,"(2, 4)",Min Drift,A,0.124147058,2,no_change
1,"(3, 3)",Max Drift,B,0.153347611,3,partial_change
1,"(3, 3)",Min Drift,A,0.126463711,3,partial_change
2,"(1, 5)",Max Drift,B,0.169779897,5,no_change
2,"(1, 5)",Min Drift,A,0.106172025,1,no_change
2,"(2, 4)",Max Drift,A,0.153907418,2,partial_change
2,"(2, 4)",Min Drift,A,0.100364685,2,no_change
2,"(3, 3)",Max Drift,B,0.164124072,3,no_change
2,"(3, 3)",Min Drift,A,0.128702343,3,partial_change
3,"(1, 5)",Max Drift,A,0.161435664,1,partial_change
3,"(1, 5)",Min Drift,B,0.109863639,5,partial_change
3,"(2, 4)",Max Drift,A,0.16666472,2,partial_change
3,"(2, 4)",Min Drift,A,0.112402022,2,no_change
3,"(3, 3)",Max Drift,A,0.168346286,3,no_change
3,"(3, 3)",Min Drift,A,0.123086512,3,partial_change
4,"(1, 5)",Max Drift,B,0.135375679,5,partial_change
4,"(1, 5)",Min Drift,B,0.093100667,5,partial_change
4,"(2, 4)",Max Drift,A,0.115907252,2,partial_change
4,"(2, 4)",Min Drift,B,0.088593006,4,partial_change
4,"(3, 3)",Max Drift,A,0.206262887,3,partial_change
4,"(3, 3)",Min Drift,A,0.112014472,3,no_change
5,"(1, 5)",Max Drift,B,0.130825877,5,no_change
5,"(1, 5)",Min Drift,A,0.084527135,1,partial_change
5,"(2, 4)",Max Drift,B,0.121046007,4,no_change
5,"(2, 4)",Min Drift,B,0.093906283,4,no_change
5,"(3, 3)",Max Drift,B,0.117259622,3,clear_change
5,"(3, 3)",Min Drift,B,0.073178291,3,partial_change
6,"(1, 5)",Max Drift,B,0.130288482,5,partial_change
6,"(1, 5)",Min Drift,A,0.091457367,1,partial_change
6,"(2, 4)",Max Drift,B,0.108330786,4,partial_change
6,"(2, 4)",Min Drift,A,0.073468328,2,partial_change
6,"(3, 3)",Max Drift,A,0.151083708,3,no_change
6,"(3, 3)",Min Drift,A,0.082179248,3,no_change
