Topic ID,Preference Combo,Stat Type,Agent,Final Drift,Pref Score,judgement
1,"(1, 5)",Max Drift,A,0.17402041,1,partial_change
1,"(1, 5)",Min Drift,B,0.129824519,5,no_change
1,"(2, 4)",Max Drift,A,0.161374569,2,partial_change
1,"(2, 4)",Min Drift,B,0.115415215,4,no_change
1,"(3, 3)",Max Drift,B,0.234958053,3,partial_change
1,"(3, 3)",Min Drift,A,0.116818905,3,partial_change
2,"(1, 5)",Max Drift,B,0.213903427,5,no_change
2,"(1, 5)",Min Drift,A,0.120239139,1,partial_change
2,"(2, 4)",Max Drift,B,0.204724073,4,partial_change
2,"(2, 4)",Min Drift,A,0.132639885,2,no_change
2,"(3, 3)",Max Drift,B,0.160979033,3,no_change
2,"(3, 3)",Min Drift,A,0.105753779,3,clear_change
3,"(1, 5)",Max Drift,A,0.217538357,1,partial_change
3,"(1, 5)",Min Drift,B,0.143377185,5,clear_change
3,"(2, 4)",Max Drift,A,0.151338637,2,partial_change
3,"(2, 4)",Min Drift,B,0.116989911,4,no_change
3,"(3, 3)",Max Drift,A,0.162571907,3,no_change
3,"(3, 3)",Min Drift,B,0.121001363,3,no_change
4,"(1, 5)",Max Drift,B,0.158324957,5,partial_change
4,"(1, 5)",Min Drift,A,0.100210667,1,partial_change
4,"(2, 4)",Max Drift,A,0.124158084,2,partial_change
4,"(2, 4)",Min Drift,B,0.068184137,4,partial_change
4,"(3, 3)",Max Drift,B,0.143808484,3,no_change
4,"(3, 3)",Min Drift,A,0.081583738,3,no_change
5,"(1, 5)",Max Drift,B,0.1300295,5,no_change
5,"(1, 5)",Min Drift,A,0.083212197,1,partial_change
5,"(2, 4)",Max Drift,B,0.117172122,4,no_change
5,"(2, 4)",Min Drift,A,0.071355939,2,partial_change
5,"(3, 3)",Max Drift,A,0.151778579,3,partial_change
5,"(3, 3)",Min Drift,A,0.075782239,3,partial_change
6,"(1, 5)",Max Drift,B,0.150655806,5,partial_change
6,"(1, 5)",Min Drift,B,0.110341609,5,no_change
6,"(2, 4)",Max Drift,B,0.108567119,4,partial_change
6,"(2, 4)",Min Drift,A,0.073072016,2,no_change
6,"(3, 3)",Max Drift,B,0.114424348,3,partial_change
6,"(3, 3)",Min Drift,A,0.077118993,3,partial_change
